接口名,schema,字段名,schema中字段,字段类型,备注,备注2,
asset_disposal(资产处置公告),01 资产处置公告,amount,（二级）-资产价值,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
asset_disposal(资产处置公告),01 资产处置公告,majorAssetRestruct,（二级）-是否构成重大资产重组,int(4),(0:否，1：是）？,(0:否，1：是）,
asset_disposal(资产处置公告),01 资产处置公告,disposalDate,（二级）-处置日期,varchar(30),,,
asset_disposal(资产处置公告),01 资产处置公告,assetName,（二级）-处置资产,varchar(100),,,
debt_overdue(债务逾期公告),11 债务逾期公告,overdueInterest,（二级）-逾期金额（欠息）,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
debt_overdue(债务逾期公告),11 债务逾期公告,lender,（二级）-债权方,varchar(100),,,
debt_overdue(债务逾期公告),11 债务逾期公告,debtor,（二级）-借款方,varchar(100),,,
debt_overdue(债务逾期公告),11 债务逾期公告,overdueTotal,（二级）-累计逾期金额,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
debt_overdue(债务逾期公告),11 债务逾期公告,deadline,（二级）-到期日,date,decimal？应该是date吧？,调整为了date，yyyy-MM-dd,
debt_overdue(债务逾期公告),11 债务逾期公告,overduePrincipal,（二级）-逾期金额本金,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
debt_overdue(债务逾期公告),11 债务逾期公告,relation,（二级）-和上市公司关系,varchar(100),,,
ann_sale_assets(出售资产公告),10 出售资产公告,transferee,交易详情-受让方,varchar(100),,,
ann_sale_assets(出售资产公告),10 出售资产公告,dataYear,交易详情-年度,varchar(20),,,
ann_sale_assets(出售资产公告),10 出售资产公告,transferor,交易详情-转让方,varchar(200),,,
ann_sale_assets(出售资产公告),10 出售资产公告,underlyingName,交易详情-标的名称,varchar(200),,,
ann_sale_assets(出售资产公告),10 出售资产公告,netWorth,交易详情-净资产,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
ann_sale_assets(出售资产公告),10 出售资产公告,soldAmount,交易详情-负债总额,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
ann_sale_assets(出售资产公告),10 出售资产公告,operateSold,交易详情-营业收入,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
ann_sale_assets(出售资产公告),10 出售资产公告,purchaseAmount,交易详情-资产总额,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
ann_sale_assets(出售资产公告),10 出售资产公告,operatePurchase,交易详情-净利润,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
annual_key_pollution_discharge(年报-重点排污),14 年报-排污,discharge,是否排污,int(4),是否排污(0:否，1：是）？,是否排污(0:否，1：是）,
interim_notice_accident(临时公告-事故),13 临时公告-事故,accDate,事故时间,date,,"date,格式：yyyy-MM-dd",
interim_notice_accident(临时公告-事故),13 临时公告-事故,accDes,事故描述,varchar(200),,,
interim_notice_accident(临时公告-事故),13 临时公告-事故,accSubject,事故主体,varchar(50),,,
interim_notice_accident(临时公告-事故),13 临时公告-事故,accType,事故类别,varchar(50),int？应该是vachar吧？,调整为varchar,
interim_notice_accident(临时公告-事故),13 临时公告-事故,subcom,与上市公司关系,varchar(50),,,
regular_operate_data_material(定期经营数据-原材料-临时公告),02 定期经营数据-临时公告,avgUnitPriceLast,原材料-上期同期平均采购单价,"decimal(20,4)",原材料-上期同期平均采购单价、原材料平均采购单价单位，转化成万元/吨,单价取原值，新增一个字段 单位,
regular_operate_data_material(定期经营数据-原材料-临时公告),02 定期经营数据-临时公告,unit,原材料-平均采购单价单位,varchar(20),,新增的单位,
regular_operate_data_material(定期经营数据-原材料-临时公告),02 定期经营数据-临时公告,income,按产品、地区、销售渠道的各项收入,"decimal(20,4)",这个在原材料下？需要做独立的字段，且产品、地区、销售渠道分开吧？,删除,
regular_operate_data_material(定期经营数据-原材料-临时公告),02 定期经营数据-临时公告,materialName,原材料-名称,varchar(500),,,
regular_operate_data_material(定期经营数据-原材料-临时公告),02 定期经营数据-临时公告,avgUnitPriceYoy,原材料-同比变动比例（%）,"decimal(20,4)",不需要百分号,原文为 56.2%，输出为 0.562,
regular_operate_data_material(定期经营数据-原材料-临时公告),02 定期经营数据-临时公告,avgUnitPrice,原材料-平均采购单价,"decimal(20,4)",原材料-平均采购单价、原材料平均采购单价单位，转化成万元/吨,单价取原值，新增一个字段 单位,
entrust_vote_right(委托表决权相关公告),06 委托表决权相关公告,clientDate,（二级）-委托时间,date,,,
entrust_vote_right(委托表决权相关公告),06 委托表决权相关公告,client,（二级）-委托方,varchar(500),,,
entrust_vote_right(委托表决权相关公告),06 委托表决权相关公告,trustee,（二级）-被委托方,varchar(500),,,
entrust_vote_right(委托表决权相关公告),06 委托表决权相关公告,sharenumber,（二级）-股份数量,"decimal(20,4)",只需要数字,,
entrust_vote_right(委托表决权相关公告),06 委托表决权相关公告,shareratio,（二级）-股份比例,"decimal(20,4)",不需要百分号,,
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,bookValue,查封/冻结详情-账面价值,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,totalAsset,查封/冻结概述-资产账面价值合计,"decimal(20,4)",,,
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,address,查封/冻结详情-坐落地址,varchar(100),,,
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,companyName,查封/冻结详情-公司名称,varchar(100),数值格式？,改为varchar(100),
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,changes,查封/冻结详情-变动情况,int(4),数值格式，选项对应关系是？,1解除冻结、2新增冻结、3账户资金增加、4账户资金减少,
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,FROZEN_TIME_START,查封/冻结详情-冻结期限（开始）,date,,资产查封冻结公告 查封/冻结详情-冻结期限 frozenTime ：改为两个字段：冻结期限（开始）FROZEN_TIME_START、冻结期限（结束） FROZEN_TIME_END 、date类型，需要根据现在的“查封/冻结详情-冻结期限”拆分,
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,FROZEN_TIME_END,查封/冻结详情-冻结期限（结束）,date,实际是一个区间，date？,,
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,ownershipNumber,查封/冻结详情-权属编号,varchar(50),,,
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,assetType,查封/冻结详情-资产类型,int(4),数值格式，选项对应关系是？,1股权、2土地及地上附着物、3银行账户,
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,seizeCause,查封/冻结详情-查封原因,varchar(300),数值格式？,varchar(300),
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,unblockDate,查封/冻结详情-解冻日期,date,,,
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,unblock,查封/冻结详情-是否已解封,int(4),数值格式，对应关系是？,(0:否，1：是）应该是枚举类字段,
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,bank,查封/冻结详情-开户行,varchar(100),,,
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,seizePersonsCompany,查封/冻结详情-查封人及单位,varchar(100),数值格式？,varchar(100),
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,executionNumber,查封/冻结详情-执行裁定文号,varchar(200),,,
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,FROZEN_AMOUNT,查封/冻结详情-被冻结金额或数量,"decimal(20,4)",,"被冻结金额或数量 frozenQuantityAmount：改成拆分为“被冻结金额”FROZEN_AMOUNT 和“被冻结数量”FROZEN_QUANTITY两个字段，金额单位为元，股票数量单位为股 、decimal(20,4)类型，需要根据现在的“查封/冻结详情-被冻结金额或数量”拆分",
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,FROZEN_QUANTITY,查封/冻结详情-单位,varchar(100),数值格式，单位换算？单位是？,,
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,totalAssetRatio,查封/冻结概述-资产账面价值合计占总资产比例,"decimal(20,4)",不需要百分号,,
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,executionCourt,查封/冻结详情-执行法院,varchar(100),数值格式？,varchar(100),
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,account,查封/冻结详情-账号,int(20),,,
regular_operate_data_product(定期经营数据-主要产品-临时公告),02 定期经营数据-临时公告,sale,主要产品-销量,"decimal(20,4)",客户字段为主要产品销量（吨），需要单位换算,按需求单位换算,
regular_operate_data_product(定期经营数据-主要产品-临时公告),02 定期经营数据-临时公告,amount,主要产品-销售收入,"decimal(20,4)",客户字段为销售金额（万元），需要单位换算,按需求单位换算,
regular_operate_data_product(定期经营数据-主要产品-临时公告),02 定期经营数据-临时公告,avgPriceYoy,主要产品-同比变动比例（%）,"decimal(20,4)",不需要百分号,原文为 56.2%，输出为 0.562,
regular_operate_data_product(定期经营数据-主要产品-临时公告),02 定期经营数据-临时公告,avgPrice,主要产品-平均售价,"decimal(20,4)",客户字段为平均售价（万元/吨），需要单位换算,按需求单位换算,
regular_operate_data_product(定期经营数据-主要产品-临时公告),02 定期经营数据-临时公告,yield,主要产品-产量,"decimal(20,4)",客户字段为产量(吨），需要单位换算,按需求单位换算,
regular_operate_data_product(定期经营数据-主要产品-临时公告),02 定期经营数据-临时公告,avgPriceLast,主要产品-上期同期平均售价,"decimal(20,4)",客户字段为上期同期平均售价（万元/吨），需要单位换算,按需求单位换算,
regular_operate_data_product(定期经营数据-主要产品-临时公告),02 定期经营数据-临时公告,productName,主要产品-名称,varchar(500),,,
ann_resolute_board_supervison(监事会决议公告),04 监事会决议公告,convenDate,监事会召开日期,date,,,
ann_resolute_board_supervison(监事会决议公告),04 监事会决议公告,MEETING_NAME,会议名称,varchar(500),,新增字段,
ann_resolute_board_supervison(监事会决议公告),04 监事会决议公告,AGREE_NUM,（二级）-同意,int(100),,原票数拆成3个，需要提数字,
ann_resolute_board_supervison(监事会决议公告),04 监事会决议公告,DISAGREE_NUM,（二级）-反对,int(100),,,
ann_resolute_board_supervison(监事会决议公告),04 监事会决议公告,ABANDON_NUM,（二级）-弃权,int(100),应该是同意多少票？反对多少票？不分开吗？,,
ann_resolute_board_supervison(监事会决议公告),04 监事会决议公告,reachNum,应到人数,varchar(32),,,
ann_resolute_board_supervison(监事会决议公告),04 监事会决议公告,proposalName,（二级）-议案名称,varchar(500),,,
ann_resolute_board_supervison(监事会决议公告),04 监事会决议公告,actualReachNum,实到人数,varchar(32),,,
ann_resolute_board_supervison(监事会决议公告),04 监事会决议公告,resultType,（二级）-是否通过,int(4),int？这个结果具体是？,"新增表决结果（是否通过：0:否，1：是）  
如果议案有提到 通过，则标注通过，没有提到的，需要根据票数计算： 半数以上/总票数 为通过",
interim_notice_revoke(临时公告-公司被责令关闭或吊销经营资质),24 临时公告-公司被责令关闭或吊销经营资质,enterpriseStatus,企业状态,varchar(500),,,
interim_notice_revoke(临时公告-公司被责令关闭或吊销经营资质),24 临时公告-公司被责令关闭或吊销经营资质,enterpriseName,企业名称,varchar(100),,varchar(100),
interim_notice_revoke(临时公告-公司被责令关闭或吊销经营资质),24 临时公告-公司被责令关闭或吊销经营资质,relation,与上市公司关系,varchar(100),,varchar(100),
corporation_articles(公司章程公告),03 公司章程公告-公司章程,directorAmount,董事人数,int(4),原文类似三名，转换成数字,转换成数字,
corporation_articles(公司章程公告),03 公司章程公告-公司章程,independDirectorAmount,独立董事人数,int(4),原文类似三名，转换成数字,转换成数字,
corporation_articles(公司章程公告),03 公司章程公告-公司章程,supervisorAmout,监事人数,int(4),原文类似三名，转换成数字,转换成数字,
interim_ann_administ_penalty(临时公告-行政处罚),15 临时公告-行政处罚,punishAmount,（二级）-处罚金额,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
interim_ann_administ_penalty(临时公告-行政处罚),15 临时公告-行政处罚,punishDepart,处罚部门,varchar(50),,,
interim_ann_administ_penalty(临时公告-行政处罚),15 临时公告-行政处罚,punishType,（二级）-处罚类型,varchar(100),,,
interim_ann_administ_penalty(临时公告-行政处罚),15 临时公告-行政处罚,punishParty,（二级）-被处罚方,varchar(100),,,
interim_ann_administ_penalty(临时公告-行政处罚),15 临时公告-行政处罚,punishDetail,（二级）-处罚详情,varchar(200),,,
interim_ann_administ_penalty(临时公告-行政处罚),15 临时公告-行政处罚,relation,（二级）-与上市公司关系,varchar(100),,,
concerted_action(一致行动人公告),22 一致行动人公告,holdAmount,分组-持股数量,"decimal(20,4)",,,
concerted_action(一致行动人公告),22 一致行动人公告,cause,分组-一致行动关系形成原因,varchar(20),,,
concerted_action(一致行动人公告),22 一致行动人公告,holdRatio,分组-持股比例,"decimal(20,4)",不需要百分号,,
concerted_action(一致行动人公告),22 一致行动人公告,divide,分组-组别,varchar(20),,,
concerted_action(一致行动人公告),22 一致行动人公告,shareholderName,分组-股东名称,varchar(100),,,
remu_domestic_account_firms(定期报告附注中“境内会计师事务所报酬”),12 境内会计师事务所报酬,dafName,（二级）-境内会计师事务所名称,varchar(500),,,
remu_domestic_account_firms(定期报告附注中“境内会计师事务所报酬”),12 境内会计师事务所报酬,dafAmount,（二级）-境内会计师事务所报酬-金额,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
remu_domestic_account_firms(定期报告附注中“境内会计师事务所报酬”),12 境内会计师事务所报酬,dafYear,（二级）-境内会计师事务所审计年限,int(100),,,
interim_ann_intellectual_property(临时公告-知识产权),23 临时公告-知识产权,reletion,涉及主体与上市公司关系,varchar(100),,,
interim_ann_intellectual_property(临时公告-知识产权),23 临时公告-知识产权,questionType,问题类别（丧失、不能续期、重大纠纷、涉及涉诉）,varchar(100),,,
interim_ann_intellectual_property(临时公告-知识产权),23 临时公告-知识产权,party,涉及主体,varchar(100),,,
appl_bankrup_liquidate_ann(申请破产清算公告),08 申请破产清算公告,ifActual,实际控制人或控股股东是否涉及破产清算,int(4),(0:否，1：是）？,(0:否，1：是）,
appl_bankrup_liquidate_ann(申请破产清算公告),08 申请破产清算公告,legalRepresentative,法定代表人,varchar(100),,,
appl_bankrup_liquidate_ann(申请破产清算公告),08 申请破产清算公告,bankruptcyName,申请破产清算公司名称,varchar(500),,,
appl_bankrup_liquidate_ann(申请破产清算公告),08 申请破产清算公告,organizationCode,组织机构代码,varchar(100),,,
appl_bankrup_liquidate_ann(申请破产清算公告),08 申请破产清算公告,decisionNo,决定书编号,varchar(100),,,
appl_bankrup_liquidate_ann(申请破产清算公告),08 申请破产清算公告,bankruptCause,破产清算申请事由,varchar(100),,,
appl_bankrup_liquidate_ann(申请破产清算公告),08 申请破产清算公告,residence,住所地,varchar(100),,,
appl_bankrup_liquidate_ann(申请破产清算公告),08 申请破产清算公告,court,法院名称,varchar(100),,,
appl_bankrup_liquidate_ann(申请破产清算公告),08 申请破产清算公告,rulingDate,裁定时间,date,,,
appl_bankrup_liquidate_ann(申请破产清算公告),08 申请破产清算公告,relation,与上市公司关系,varchar,int？应该是vachar吧？,vachar,
appl_bankrup_liquidate_ann(申请破产清算公告),08 申请破产清算公告,rulingNo,裁定书编号,varchar(100),,,
